vendor_id,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,imp_surcharge,total_amount
3,1,4.94,16.5,0.5,0.5,1.78,0.0,0.3,19.58
3,1,0.27,4.0,0.0,0.5,0.1,0.0,0.3,4.9
3,1,9.71,35.0,1.0,0.5,0.0,5.54,0.3,42.34
3,1,1.09,8.5,0.0,0.5,1.4,0.0,0.3,10.7
3,1,1.04,6.5,0.0,0.5,0.73,0.0,0.3,8.03
3,1,1.45,9.0,0.0,0.5,1.47,0.0,0.3,11.27
3,1,1.24,8.0,0.0,0.5,0.0,0.0,0.3,8.8
3,1,0.55,5.0,0.5,0.5,0.0,0.0,0.3,6.3
3,1,0.5,3.5,0.0,0.5,0.86,0.0,0.3,5.16
3,1,1.7,8.5,0.5,0.5,2.45,0.0,0.3,12.25
3,1,1.46,7.0,0.5,0.5,0.0,0.0,0.3,8.3
3,1,0.82,4.5,0.0,0.5,1.06,0.0,0.3,6.36
3,1,12.64,36.0,0.5,0.5,5.6,0.0,0.3,42.9
3,1,0.81,6.5,1.0,0.5,2.08,0.0,0.3,10.38
3,1,2.63,17.0,0.0,0.5,0.0,0.0,0.3,17.8
3,1,1.49,9.0,0.5,0.5,0.0,0.0,0.3,10.3
3,1,2.12,11.5,0.5,0.5,0.0,0.0,0.3,12.8
3,1,0.36,4.0,0.5,0.5,0.0,0.0,0.3,5.3
3,1,16.22,52.0,0.0,0.5,0.0,5.54,0.3,58.34
3,1,0.0,10.0,0.0,0.5,0.0,0.0,0.3,10.8
3,1,1.17,6.5,1.0,0.5,0.0,0.0,0.3,8.3
3,1,11.09,33.5,0.5,0.5,0.0,5.54,0.3,40.34
3,1,0.72,5.5,0.0,0.5,1.58,0.0,0.3,7.88
3,1,0.78,5.0,0.5,0.5,0.95,0.0,0.3,7.25
3,1,1.89,8.5,1.0,0.5,2.06,0.0,0.3,12.36
3,1,3.2,15.5,0.5,0.5,2.52,0.0,0.3,19.32
3,1,1.35,8.5,0.0,0.5,0.0,0.0,0.3,9.3
3,1,4.51,20.0,0.5,0.5,4.26,0.0,0.3,25.56
3,1,2.26,17.0,0.0,0.5,3.56,0.0,0.3,21.36
3,1,1.67,22.0,1.0,0.5,0.0,0.0,0.3,23.8
3,1,0.97,9.0,0.0,0.5,0.0,0.0,0.3,9.8
3,1,4.39,17.0,0.5,0.5,3.66,0.0,0.3,21.96
3,1,1.38,11.5,1.0,0.5,1.33,0.0,0.3,14.63
3,1,1.96,8.5,0.5,0.5,1.96,0.0,0.3,11.76
3,1,6.19,23.5,1.0,0.5,0.0,0.0,0.3,25.3
3,1,2.02,9.5,0.0,0.5,0.0,0.0,0.3,10.3
3,1,0.97,6.5,0.5,0.5,0.0,0.0,0.3,7.8
3,1,4.14,18.0,0.0,0.5,0.0,0.0,0.3,18.8
3,1,0.39,4.0,0.0,0.5,0.48,0.0,0.3,5.28
3,1,1.42,8.5,0.0,0.5,1.4,0.0,0.3,10.7
3,1,15.01,62.0,0.0,0.5,15.7,0.0,0.3,78.5
3,1,12.96,38.5,0.0,0.5,19.65,0.0,0.3,58.95
3,1,15.87,52.0,0.0,0.5,0.0,5.54,0.3,58.34
3,1,3.1,17.5,0.0,0.5,0.0,0.0,0.3,18.3
3,1,1.97,8.5,1.0,0.5,1.03,0.0,0.3,11.33
3,1,3.09,13.0,0.0,0.5,2.76,0.0,0.3,16.56
3,1,1.79,8.0,0.5,0.5,0.0,0.0,0.3,9.3
3,1,3.56,12.5,0.5,0.5,0.0,0.0,0.3,13.8
3,1,2.77,14.0,0.0,0.5,0.0,0.0,0.3,14.8
3,1,2.39,15.0,0.0,0.5,1.9,0.0,0.3,17.7
3,1,3.46,13.0,1.0,0.5,2.96,0.0,0.3,17.76
3,1,0.94,8.0,0.0,0.5,0.0,0.0,0.3,8.8
3,1,16.89,52.0,0.0,0.5,10.56,0.0,0.3,63.36
3,1,0.0,2.5,1.0,0.5,69.0,0.0,0.3,73.3
3,1,0.87,5.0,1.0,0.5,0.0,0.0,0.3,6.8
3,1,0.03,2.5,0.0,0.5,0.0,0.0,0.3,3.3
3,1,5.77,18.5,0.0,0.5,0.0,0.0,0.3,19.3
3,1,1.56,7.5,0.0,0.5,1.25,0.0,0.3,9.55
3,1,0.0,2.5,0.0,0.5,0.0,0.0,0.3,3.3
3,1,1.09,7.0,0.0,0.5,1.56,0.0,0.3,9.36
3,1,3.43,13.5,0.0,0.5,0.0,0.0,0.3,14.3
3,1,3.07,19.0,0.0,0.5,0.0,0.0,0.3,19.8
3,1,2.32,13.0,1.0,0.5,0.74,0.0,0.3,15.54
3,1,7.21,32.5,0.5,0.5,3.38,0.0,0.3,37.18
3,1,5.62,21.5,0.0,0.5,0.0,0.0,0.3,22.3
3,1,9.3,27.5,0.0,0.5,0.0,0.0,0.3,28.3
3,1,1.63,9.0,0.0,0.5,0.0,0.0,0.3,9.8
3,1,2.14,9.0,0.0,0.5,0.98,0.0,0.3,10.78
3,1,2.86,13.5,0.5,0.5,0.0,0.0,0.3,14.8
3,1,0.23,3.0,0.0,0.5,0.0,0.0,0.3,3.8
3,1,2.19,12.0,0.0,0.5,1.28,0.0,0.3,14.08
3,1,3.34,16.5,0.0,0.5,3.46,0.0,0.3,20.76
3,1,0.56,5.5,0.0,0.5,0.0,0.0,0.3,6.3
3,1,0.74,6.5,0.5,0.5,0.0,0.0,0.3,7.8
3,1,1.62,12.5,0.0,0.5,2.66,0.0,0.3,15.96
3,1,1.94,13.0,0.0,0.5,1.38,0.0,0.3,15.18
3,1,3.49,14.0,0.5,0.5,0.0,0.0,0.3,15.3
3,1,1.53,10.5,0.0,0.5,0.0,0.0,0.3,11.3
3,1,13.59,37.5,0.5,0.5,0.0,0.0,0.3,38.8
3,1,8.35,27.0,0.0,0.5,0.0,5.54,0.3,33.34
3,1,0.97,7.0,0.0,0.5,1.56,0.0,0.3,9.36
3,1,16.94,52.0,4.5,0.5,6.28,5.54,0.3,69.12
3,1,0.66,4.5,1.0,0.5,0.63,0.0,0.3,6.93
3,1,1.28,8.0,0.0,0.5,1.76,0.0,0.3,10.56
3,1,0.54,5.5,0.0,0.5,0.0,0.0,0.3,6.3
3,1,2.03,8.5,0.5,0.5,0.0,0.0,0.3,9.8
3,1,1.85,10.0,0.0,0.5,2.16,0.0,0.3,12.96
3,1,7.84,25.0,0.5,0.5,5.26,0.0,0.3,31.56
3,1,0.9,10.0,0.0,0.5,0.0,0.0,0.3,10.8
3,1,10.09,35.0,1.0,0.5,10.59,5.54,0.3,52.93
3,1,3.82,16.0,0.5,0.5,0.0,0.0,0.3,17.3
3,1,0.0,2.5,0.0,0.5,0.0,0.0,0.3,3.3
3,1,0.2,3.0,1.0,0.5,0.0,0.0,0.3,4.8
3,1,9.75,28.5,0.0,0.5,4.4,0.0,0.3,33.7
3,1,17.29,52.0,0.0,0.5,0.0,5.54,0.3,58.34
3,1,1.14,7.5,0.0,0.5,0.83,0.0,0.3,9.13
3,1,2.51,10.5,0.5,0.5,1.18,0.0,0.3,12.98
3,1,9.04,36.0,0.5,0.5,0.0,5.54,0.3,42.84
3,1,5.59,19.5,0.0,0.5,2.03,0.0,0.3,22.33
3,1,0.45,4.0,1.0,0.5,0.0,0.0,0.3,5.8
3,1,2.91,12.5,0.0,0.5,0.0,0.0,0.3,13.3
3,1,1.28,8.5,0.0,0.5,0.0,0.0,0.3,9.3
3,1,0.63,5.5,0.0,0.5,0.0,0.0,0.3,6.3
3,1,2.29,12.5,0.5,0.5,0.0,0.0,0.3,13.8
3,1,1.19,12.0,1.0,0.5,0.0,0.0,0.3,13.8
3,1,0.81,5.5,0.5,0.5,0.0,0.0,0.3,6.8
3,1,5.5,17.5,0.0,0.5,0.0,0.0,0.3,18.3
3,1,1.16,8.0,1.0,0.5,0.0,0.0,0.3,9.8
3,1,0.93,6.0,0.0,0.5,0.0,0.0,0.3,6.8
3,1,1.0,6.0,0.0,0.5,0.0,0.0,0.3,6.8
3,1,3.5,13.0,0.5,0.5,0.0,0.0,0.3,14.3
3,1,0.5,4.5,0.0,0.5,0.0,0.0,0.3,5.3
3,1,2.83,13.5,1.0,0.5,3.06,0.0,0.3,18.36
3,1,1.43,7.0,1.0,0.5,0.0,0.0,0.3,8.8
3,1,0.49,5.0,0.0,0.5,0.87,0.0,0.3,6.67
3,1,1.81,9.5,0.5,0.5,2.16,0.0,0.3,12.96
3,1,0.77,8.0,0.0,0.5,0.0,0.0,0.3,8.8
3,1,2.72,17.0,1.0,0.5,3.76,0.0,0.3,22.56
3,1,1.71,11.5,0.5,0.5,1.92,0.0,0.3,14.72
3,1,1.52,9.5,0.5,0.5,0.0,0.0,0.3,10.8
3,1,0.94,5.0,0.5,0.5,0.76,0.0,0.3,7.06
3,1,4.8,31.0,1.0,0.5,0.0,0.0,0.3,32.8
3,1,1.5,9.5,0.0,0.5,2.06,0.0,0.3,12.36
3,1,18.85,52.0,0.5,0.5,5.33,0.0,0.3,58.63
3,1,1.39,10.0,0.0,0.5,1.62,0.0,0.3,12.42
3,1,0.76,5.5,0.0,0.5,1.26,0.0,0.3,7.56
3,1,8.81,35.0,0.5,0.5,0.0,0.0,0.3,36.3
3,1,0.0,2.5,0.5,0.5,0.0,0.0,0.3,3.8
3,1,0.41,4.0,1.0,0.5,0.58,0.0,0.3,6.38
3,1,3.16,13.5,0.5,0.5,2.96,0.0,0.3,17.76
3,1,3.63,13.5,0.0,0.5,0.0,0.0,0.3,14.3
3,1,1.73,9.5,1.0,0.5,1.13,0.0,0.3,12.43
3,1,5.01,18.5,0.5,0.5,5.94,0.0,0.3,25.74
3,1,0.81,5.0,0.0,0.5,0.87,0.0,0.3,6.67
3,1,12.07,38.0,1.0,0.5,7.96,0.0,0.3,47.76
3,1,1.65,8.5,0.5,0.5,0.0,0.0,0.3,9.8
3,1,2.38,12.5,0.0,0.5,0.0,0.0,0.3,13.3
3,1,0.98,5.5,0.0,0.5,0.0,0.0,0.3,6.3
3,1,4.45,17.5,0.5,0.5,0.0,0.0,0.3,18.8
3,1,1.02,6.5,0.0,0.5,0.73,0.0,0.3,8.03
3,1,1.22,8.5,0.0,0.5,0.0,0.0,0.3,9.3
3,1,3.54,17.5,0.0,0.5,0.0,0.0,0.3,18.3
3,1,0.35,3.5,0.5,0.5,0.0,5.54,0.3,10.34
3,1,3.4,15.0,0.5,0.5,0.0,0.0,0.3,16.3
3,1,0.99,5.5,0.0,0.5,1.26,0.0,0.3,7.56
3,1,7.56,30.5,0.0,0.5,7.83,0.0,0.3,39.13
3,1,0.0,45.0,0.0,0.5,6.87,0.0,0.3,52.67
3,1,1.71,8.0,0.5,0.5,1.4,0.0,0.3,10.7
3,1,1.07,8.0,0.0,0.5,0.26,0.0,0.3,9.06
3,1,2.69,11.0,0.0,0.5,2.12,0.0,0.3,13.92
3,1,4.0,12.5,0.5,0.5,0.0,0.0,0.3,13.8
3,1,1.34,7.5,0.5,0.5,1.76,0.0,0.3,10.56
3,1,1.03,6.5,0.5,0.5,1.56,0.0,0.3,9.36
3,1,5.28,19.0,0.0,0.5,3.96,0.0,0.3,23.76
